fecha_mes,tpm_prom,tpm_cierre,ipc,imacec,tasa_desempleo,dolar_prom,dolar_cierre,libra_cobre_prom,libra_cobre_cierre
2011-10-01,5.25,5.25,3.671900041,84.178775752689,7.4366909896981,511.7442105263158,492.04,3.33280413680486,3.33280413680486
2011-11-01,5.25,5.25,3.927711705,86.446293627724,7.3319133368942,508.4376190476191,524.25,3.42546040097977,3.42546040097977
2011-12-01,5.25,5.25,4.437732798,91.043493166839,6.8146096671283,517.1719047619048,521.46,3.43261816202486,3.43261816202486
2012-01-01,5.102272727272728,5.0,4.247461729,82.48850775212,6.853915676547,501.3395454545454,488.99,3.64848498593849,3.64848498593849
2012-02-01,5.0,5.0,4.412114881,79.583912810663,6.5283728037424,481.4885714285714,477.41,3.82050712147328,3.82050712147328
2012-03-01,5.0,5.0,3.788849417,89.288491287334,6.7973028961148,485.3954545454546,489.76,3.83609271523179,3.83609271523179
2012-04-01,5.0,5.0,3.511317914,87.623528867105,6.7636742906146,486.001,483.41,3.74654359067404,3.74654359067404
2012-05-01,5.0,5.0,3.130711525,88.03861747833,6.9418393842258,497.0880952380953,517.91,3.59245668148417,3.59245668148417
2012-06-01,5.0,5.0,2.65108839,86.063196111227,6.7812921942007,505.6280952380953,509.73,3.3657398167468,3.3657398167468
2012-07-01,5.0,5.0,2.507445114,82.963262681021,6.6649669414834,491.9345,482.83,3.44252472103783,3.44252472103783
2012-08-01,5.0,5.0,2.567829886,86.65082638185,6.5384289832067,480.994090909091,481.17,3.39855302549215,3.39855302549215
2012-09-01,5.0,5.0,2.844968059,82.73009513732,6.5762953945396,474.9717647058824,470.48,3.65979315975687,3.65979315975687
2012-10-01,5.0,5.0,2.919948163,89.847446247651,6.6949333295345,475.3627272727272,480.03,3.66031026036469,3.66031026036469
2012-11-01,5.0,5.0,2.132343771,91.596476733005,6.3597240604042,480.5705,479.42,3.49006622516556,3.49006622516556
2012-12-01,5.0,5.0,1.486964626,94.690431285772,6.2246556879872,477.1284210526316,478.6,3.61180259457498,3.61180259457498
