actor,topico_modelo,peso_medio,peso_total,n_dominante,ranking
Alberto Naudon Dell'Oro,tema_nmf_06,0.005068989307205477,0.5880027596358353,0,14
Alejandro Micco,tema_nmf_01,0.1425809634652469,1.7109715615829628,2,1
Alejandro Micco,tema_nmf_03,0.11315101800063428,1.3578122160076114,0,2
Alejandro Micco,tema_nmf_02,0.1105293142391982,1.3263517708703785,3,3
Alejandro Micco,tema_nmf_09,0.10679062583765168,1.2814875100518202,2,4
Alejandro Micco,tema_nmf_06,0.09768544258942406,1.1722253110730887,2,5
Alejandro Micco,tema_nmf_05,0.08799675946128521,1.0559611135354225,1,6
Alejandro Micco,tema_nmf_08,0.07710119586824293,0.9252143504189152,0,7
Alejandro Micco,tema_nmf_07,0.07310317222615488,0.8772380667138586,0,8
Alejandro Micco,tema_nmf_10,0.07174982990757026,0.8609979588908431,0,9
Alejandro Micco,tema_nmf_12,0.07171818812035824,0.8606182574442989,2,10
Alejandro Micco,tema_nmf_13,0.026505735880367188,0.31806883056440627,0,11
Alejandro Micco,tema_nmf_14,0.013436817728287571,0.16124181273945085,0,12
Alejandro Micco,tema_nmf_04,0.0067786132605308835,0.0813433591263706,0,13
Alejandro Micco,tema_nmf_11,0.0008723234150477113,0.010467880980572535,0,14
Alfredo Pistelli,tema_nmf_03,0.289937001619332,0.579874003238664,1,1
Alfredo Pistelli,tema_nmf_13,0.1845024625840211,0.3690049251680422,0,2
Alfredo Pistelli,tema_nmf_02,0.10655366768044001,0.21310733536088003,0,3
Alfredo Pistelli,tema_nmf_12,0.09317791027499503,0.18635582054999006,0,4
Alfredo Pistelli,tema_nmf_07,0.0838028518683507,0.1676057037367014,0,5
Alfredo Pistelli,tema_nmf_08,0.06971618282128174,0.13943236564256348,1,6
Alfredo Pistelli,tema_nmf_01,0.06662044125432678,0.13324088250865357,0,7
Alfredo Pistelli,tema_nmf_05,0.029176405577538294,0.05835281115507659,0,8
Alfredo Pistelli,tema_nmf_09,0.029005875004299093,0.058011750008598185,0,9
Alfredo Pistelli,tema_nmf_11,0.019553899292723786,0.03910779858544757,0,10
Alfredo Pistelli,tema_nmf_14,0.009152145510703633,0.018304291021407265,0,11
Alfredo Pistelli,tema_nmf_06,0.009074797035366988,0.018149594070733976,0,12
Alfredo Pistelli,tema_nmf_10,0.007994344979053122,0.015988689958106244,0,13
Alfredo Pistelli,tema_nmf_04,0.0017320144975677204,0.0034640289951354407,0,14
Andrés Velasco Brañes,tema_nmf_06,0.5032325131637987,111.7176179223633,174,1
Andrés Velasco Brañes,tema_nmf_10,0.06815867986887131,15.131226930889431,13,2
Andrés Velasco Brañes,tema_nmf_02,0.0681162230768136,15.12180152305262,3,3
Andrés Velasco Brañes,tema_nmf_01,0.06634244365559688,14.728022491542507,3,4
Andrés Velasco Brañes,tema_nmf_03,0.05635968770165702,12.51185066976786,7,5
Andrés Velasco Brañes,tema_nmf_09,0.040312368497195446,8.949345806377389,3,6
Andrés Velasco Brañes,tema_nmf_05,0.0398775372546572,8.852813270533899,3,7
Andrés Velasco Brañes,tema_nmf_12,0.03339789714239023,7.414333165610631,3,8
Andrés Velasco Brañes,tema_nmf_07,0.0315642943855537,7.007273353592922,4,9
Andrés Velasco Brañes,tema_nmf_04,0.029262988225746616,6.496383386115749,3,10
Andrés Velasco Brañes,tema_nmf_08,0.020658209260363488,4.5861224558006946,0,11
Andrés Velasco Brañes,tema_nmf_13,0.01971950317562348,4.377729704988413,5,12
Andrés Velasco Brañes,tema_nmf_14,0.019230233250513346,4.2691117816139625,1,13
Andrés Velasco Brañes,tema_nmf_11,0.0037674213412189875,0.8363675377506152,0,14
Ari Aisen,tema_nmf_10,0.4228641374150863,0.4228641374150863,1,1
Ari Aisen,tema_nmf_08,0.17189536131491398,0.17189536131491398,0,2
Ari Aisen,tema_nmf_11,0.10546187386172097,0.10546187386172097,0,3
Ari Aisen,tema_nmf_04,0.09638993050868139,0.09638993050868139,0,4
Ari Aisen,tema_nmf_06,0.06815024347356638,0.06815024347356638,0,5
Ari Aisen,tema_nmf_03,0.05296449831913162,0.05296449831913162,0,6
Ari Aisen,tema_nmf_13,0.031491579574390104,0.031491579574390104,0,7
Ari Aisen,tema_nmf_07,0.022620952947869036,0.022620952947869036,0,8
Ari Aisen,tema_nmf_09,0.01582783210345459,0.01582783210345459,0,9
Ari Aisen,tema_nmf_05,0.0068337567900831585,0.0068337567900831585,0,10
Ari Aisen,tema_nmf_12,0.0031435749166725644,0.0031435749166725644,0,11
Ari Aisen,tema_nmf_01,0.0012181713624611124,0.0012181713624611124,0,12
Ari Aisen,tema_nmf_02,0.0011380874119686867,0.0011380874119686867,0,13
Ari Aisen,tema_nmf_14,0.0,0.0,0,14
Beltrán de Ramón Acevedo,tema_nmf_04,0.16620534151282076,30.4155774968462,40,1
Beltrán de Ramón Acevedo,tema_nmf_02,0.11747023487458741,21.497052982049496,14,2
Beltrán de Ramón Acevedo,tema_nmf_10,0.09558027991291122,17.491191224062753,24,3
Beltrán de Ramón Acevedo,tema_nmf_14,0.08886078984365545,16.261524541388948,32,4
Beltrán de Ramón Acevedo,tema_nmf_08,0.08806602779329785,16.116083086173507,10,5
Beltrán de Ramón Acevedo,tema_nmf_12,0.07528287624447007,13.776766352738022,9,6
Beltrán de Ramón Acevedo,tema_nmf_09,0.06760036542723102,12.370866873183278,13,7
Beltrán de Ramón Acevedo,tema_nmf_07,0.06462593032686573,11.826545249816428,9,8
Beltrán de Ramón Acevedo,tema_nmf_01,0.057921353072436524,10.599607612255884,4,9
Beltrán de Ramón Acevedo,tema_nmf_03,0.055573636745223184,10.169975524375843,6,10
Beltrán de Ramón Acevedo,tema_nmf_05,0.04633948632065104,8.48012599667914,7,11
Beltrán de Ramón Acevedo,tema_nmf_13,0.04200972447634708,7.687779579171515,13,12
Beltrán de Ramón Acevedo,tema_nmf_06,0.029774471106173126,5.448728212429682,2,13
Beltrán de Ramón Acevedo,tema_nmf_11,0.004689482343329502,0.8581752688292988,0,14
Camilo Carrasco Alfonso,tema_nmf_05,0.24936092655622258,0.9974437062248903,1,1
Camilo Carrasco Alfonso,tema_nmf_02,0.1937777418168637,0.7751109672674548,1,2
Camilo Carrasco Alfonso,tema_nmf_14,0.10929710012538332,0.4371884005015333,1,3
Camilo Carrasco Alfonso,tema_nmf_01,0.10837115766670012,0.4334846306668005,1,4
Camilo Carrasco Alfonso,tema_nmf_12,0.08648104739153227,0.3459241895661291,0,5
Camilo Carrasco Alfonso,tema_nmf_07,0.05560605359167843,0.22242421436671372,0,6
Camilo Carrasco Alfonso,tema_nmf_04,0.03989730712169157,0.1595892284867663,0,7
Camilo Carrasco Alfonso,tema_nmf_03,0.03898895464374959,0.15595581857499835,0,8
Camilo Carrasco Alfonso,tema_nmf_10,0.03455231369904324,0.13820925479617296,0,9
Camilo Carrasco Alfonso,tema_nmf_08,0.031031296245118196,0.12412518498047279,0,10
Camilo Carrasco Alfonso,tema_nmf_09,0.02586806022919613,0.10347224091678452,0,11
