ngram,n_palabras,ocurrencias,intervenciones,reuniones
futuro,1,613,515,127
chilena,1,613,469,127
activos,1,612,457,118
exhibe,1,612,441,96
junio,1,612,374,101
semanas,1,611,501,127
nominales,1,611,475,130
en ese,2,610,540,129
su presentacion,2,610,512,90
ultimos meses,2,610,480,128
economias desarrolladas,2,610,420,107
comercio,1,610,414,122
principales,1,609,469,132
problemas,1,608,481,119
las medidas,2,608,458,124
trimestres,1,608,445,126
ultimo ipom,2,607,487,110
oferta,1,607,453,120
de bienes,2,607,391,124
en el mercado,3,606,498,126
segundo trimestre,2,606,424,106
inventarios,1,605,376,115
proceso de,2,604,451,118
doce,1,604,413,121
nivel de,2,603,499,132
senor ministro,2,602,430,81
velocidad,1,601,423,119
tendido,1,601,409,121
tienen,1,600,524,122
uno,1,600,494,123
mantenido,1,599,427,129
en todo caso,3,598,504,130
todo caso,2,598,504,130
magnitud,1,598,488,125
correccion,1,598,432,119
brasil,1,597,382,100
los efectos,2,596,482,126
senales,1,596,444,127
operaciones,1,595,475,122
de ese,2,594,528,132
el corto plazo,3,594,488,128
los mercados financieros,3,594,486,126
los meses,2,594,484,127
palabra al,2,593,591,123
en esta oportunidad,3,593,454,129
la palabra al,3,592,590,123
doce meses,2,592,406,121
rpm,1,591,447,88
ajustes,1,591,432,128
del ipc,2,590,408,122
los paises,2,589,437,120
antes,1,588,514,127
tenido,1,587,491,129
probable,1,587,488,128
relevantes,1,587,486,124
los ultimos meses,3,587,463,128
trimestre del,2,587,451,120
el ultimo mes,3,587,444,124
50 puntos base,3,587,346,99
industrial,1,587,322,120
las ultimas,2,585,485,130
podrian,1,584,505,126
condiciones financieras,2,584,435,120
atras,1,583,481,130
del sector,2,583,441,125
cifras de,2,582,472,123
especial,1,581,497,126
el horizonte,2,581,478,132
caidas,1,581,437,115
capital,1,581,409,125
de las tasas,3,579,470,126
gasto,1,578,384,124
la opcion,2,576,386,129
ofrece,1,574,572,131
de largo,2,573,451,124
aumentar,1,573,429,114
la presentacion,2,572,552,119
refiere,1,572,502,122
se refiere,2,572,502,122
las proyecciones de,3,572,459,127
reales,1,572,456,124
el lado,2,572,427,124
riesgo de,2,571,461,127
que el mercado,3,570,495,129
principalmente,1,569,474,129
de 25,2,569,402,118
de largo plazo,3,568,448,124
del tipo,2,568,438,117
habria,1,567,490,122
registros,1,567,446,117
minuta,1,567,424,124
dan cuenta,2,566,475,117
global,1,566,430,129
en terminos de,3,565,427,124
monedas,1,565,402,120
ofrece la,2,564,563,131
vicepresidente senor manuel,3,564,475,47
vicepresidente senor manuel marfan,4,564,475,47
en el corto,3,564,470,127
ofrece la palabra,3,563,562,131
resulta,1,562,493,126
del tipo de,3,562,432,116
despues,1,561,492,126
la reunion de politica,4,561,441,132
cuarto,1,560,397,124
de desempleo,2,558,414,122
abril,1,558,339,105
de enero,2,558,330,85
en europa,2,557,434,112
del tipo de cambio,4,557,428,116
caida de,2,556,458,119
esto es,2,555,511,130
acuerdo con,2,555,462,113
las noticias,2,555,411,126
orden,1,554,461,126
de mercado,2,553,437,126
lo previsto,2,553,413,127
de los precios,3,552,453,129
la desaceleracion,2,552,433,106
el senor lehmann,3,552,280,71
en el corto plazo,4,551,461,127
ultima reunion,2,550,454,130
dinamica,1,550,432,127
cifra,1,550,423,126
medidas de,2,550,418,127
que las tasas,3,549,427,122
del precio del,3,549,422,122
mucho,1,548,486,116
igual,1,548,447,129
