anio,topico_humano,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
2009,decision_tpm,40.0,0.0,21.0,19.0,0.0,0.525,0.475,-0.525,-1.0,0.525,-0.3121535005716973
2009,escenario_internacional,217.0,0.0,0.0,217.0,0.0,0.0,1.0,0.0,,0.0,-0.0040175026518762084
2009,inflacion,96.0,0.0,2.0,94.0,0.0,0.020833333333333332,0.9791666666666666,-0.020833333333333332,-1.0,0.020833333333333332,-0.015607036540912195
2009,mercado_laboral,30.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,,0.0,-0.007553302796536183
2009,mercados_financieros,160.0,0.0,6.0,154.0,0.0,0.0375,0.9625,-0.0375,-1.0,0.0375,-0.01975070806237523
2009,opciones_tpm,25.0,0.0,5.0,20.0,0.0,0.2,0.8,-0.2,-1.0,0.2,-0.13567602287831107
2009,politica_fiscal,9.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,,0.0,-0.017445612391741267
2010,actividad_interna,79.0,0.0,1.0,78.0,0.0,0.012658227848101266,0.9873417721518988,-0.012658227848101266,-1.0,0.012658227848101266,-0.012880700338014655
2010,acuerdo_comunicado,199.0,46.0,5.0,148.0,0.23115577889447236,0.02512562814070352,0.7437185929648241,0.20603015075376885,0.803921568627451,0.2562814070351759,0.1265958413945257
2010,apertura_cierre,13.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,,0.0,-0.0010350274569156414
2010,debate,254.0,0.0,0.0,254.0,0.0,0.0,1.0,0.0,,0.0,-0.0002469141328319588
2010,decision_tpm,49.0,17.0,2.0,30.0,0.3469387755102041,0.04081632653061224,0.6122448979591837,0.30612244897959184,0.7894736842105263,0.3877551020408163,0.15018535622340717
2010,escenario_internacional,158.0,7.0,0.0,151.0,0.04430379746835443,0.0,0.9556962025316456,0.04430379746835443,1.0,0.04430379746835443,0.02894286420529203
2010,inflacion,118.0,4.0,0.0,114.0,0.03389830508474576,0.0,0.9661016949152542,0.03389830508474576,1.0,0.03389830508474576,0.01865792979194862
2010,mercado_laboral,62.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,,0.0,-0.00048524568680790263
2010,mercados_financieros,182.0,3.0,0.0,179.0,0.016483516483516484,0.0,0.9835164835164835,0.016483516483516484,1.0,0.016483516483516484,0.007459209754665902
2010,opciones_tpm,25.0,1.0,0.0,24.0,0.04,0.0,0.96,0.04,1.0,0.04,0.048614981270254036
2010,politica_fiscal,10.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,,0.0,0.0013731283707892853
2011,actividad_interna,69.0,0.0,0.0,69.0,0.0,0.0,1.0,0.0,,0.0,-0.005127047533749492
2011,acuerdo_comunicado,140.0,42.0,4.0,94.0,0.3,0.02857142857142857,0.6714285714285714,0.2714285714285714,0.8260869565217391,0.32857142857142857,0.18035025316429812
2011,apertura_cierre,30.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,,0.0,-0.003908089262343454
2011,debate,256.0,1.0,0.0,255.0,0.00390625,0.0,0.99609375,0.00390625,1.0,0.00390625,-0.0008950658938385599
2011,decision_tpm,46.0,6.0,4.0,36.0,0.13043478260869565,0.08695652173913043,0.782608695652174,0.043478260869565216,0.2,0.21739130434782608,0.04952961096490071
2011,escenario_internacional,168.0,2.0,0.0,166.0,0.011904761904761904,0.0,0.9880952380952381,0.011904761904761904,1.0,0.011904761904761904,0.007107206372845401
2011,inflacion,90.0,2.0,0.0,88.0,0.022222222222222223,0.0,0.9777777777777777,0.022222222222222223,1.0,0.022222222222222223,0.004282985663651267
2011,mercado_laboral,26.0,1.0,0.0,25.0,0.038461538461538464,0.0,0.9615384615384616,0.038461538461538464,1.0,0.038461538461538464,0.032803560821426554
2011,mercados_financieros,97.0,3.0,2.0,92.0,0.030927835051546393,0.020618556701030927,0.9484536082474226,0.010309278350515464,0.2,0.05154639175257732,-0.004593125313077769
2011,opciones_tpm,35.0,2.0,2.0,31.0,0.05714285714285714,0.05714285714285714,0.8857142857142857,0.0,0.0,0.11428571428571428,0.0003969865468991228
2011,otros,16.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,,0.0,-0.012797126054587828
2011,politica_fiscal,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,0.0,0.002563677402543577
2011,riesgos,85.0,0.0,3.0,82.0,0.0,0.03529411764705882,0.9647058823529412,-0.03529411764705882,-1.0,0.03529411764705882,-0.020413316901776803
2012,actividad_interna,74.0,0.0,0.0,74.0,0.0,0.0,1.0,0.0,,0.0,-0.00997493975659925
2012,acuerdo_comunicado,172.0,0.0,10.0,162.0,0.0,0.05813953488372093,0.9418604651162791,-0.05813953488372093,-1.0,0.05813953488372093,-0.06939791341500717
2012,apertura_cierre,25.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,,0.0,-0.0025247525343064896
2012,debate,152.0,0.0,0.0,152.0,0.0,0.0,1.0,0.0,,0.0,-0.00849461995852814
2012,decision_tpm,35.0,0.0,3.0,32.0,0.0,0.08571428571428572,0.9142857142857143,-0.08571428571428572,-1.0,0.08571428571428572,-0.0992545588900184
2012,escenario_internacional,192.0,0.0,2.0,190.0,0.0,0.010416666666666666,0.9895833333333334,-0.010416666666666666,-1.0,0.010416666666666666,-0.02104976250386878
2012,inflacion,58.0,0.0,0.0,58.0,0.0,0.0,1.0,0.0,,0.0,-0.012962422912700899
2012,mercado_laboral,52.0,0.0,0.0,52.0,0.0,0.0,1.0,0.0,,0.0,-0.007885717408305076
