meeting_id,fecha,anio,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
RPM-2010-02-11,2010-02-11,2010,133.0,0.0,1.0,132.0,0.0,0.007518796992481203,0.9924812030075187,-0.007518796992481203,-1.0,0.007518796992481203,-0.004079705335890496
RPM-2010-03-18,2010-03-18,2010,84.0,3.0,0.0,81.0,0.03571428571428571,0.0,0.9642857142857143,0.03571428571428571,1.0,0.03571428571428571,0.007629024177736684
RPM-2010-04-15,2010-04-15,2010,91.0,4.0,2.0,85.0,0.04395604395604396,0.02197802197802198,0.9340659340659341,0.02197802197802198,0.3333333333333333,0.06593406593406594,0.026754575955130484
RPM-2010-05-13,2010-05-13,2010,76.0,11.0,0.0,65.0,0.14473684210526316,0.0,0.8552631578947368,0.14473684210526316,1.0,0.14473684210526316,0.042963173280344956
RPM-2010-06-15,2010-06-15,2010,100.0,9.0,0.0,91.0,0.09,0.0,0.91,0.09,1.0,0.09,0.06271362806529217
RPM-2010-07-15,2010-07-15,2010,103.0,8.0,0.0,95.0,0.07766990291262135,0.0,0.9223300970873787,0.07766990291262135,1.0,0.07766990291262135,0.0577446364571309
RPM-2010-08-12,2010-08-12,2010,96.0,11.0,1.0,84.0,0.11458333333333333,0.010416666666666666,0.875,0.10416666666666667,0.8333333333333334,0.125,0.06374588810001951
RPM-2010-09-16,2010-09-16,2010,128.0,8.0,0.0,120.0,0.0625,0.0,0.9375,0.0625,1.0,0.0625,0.04062202824186875
RPM-2010-10-14,2010-10-14,2010,89.0,10.0,0.0,79.0,0.11235955056179775,0.0,0.8876404494382022,0.11235955056179775,1.0,0.11235955056179775,0.06301828028210757
RPM-2010-11-16,2010-11-16,2010,108.0,8.0,0.0,100.0,0.07407407407407407,0.0,0.9259259259259259,0.07407407407407407,1.0,0.07407407407407407,0.04380414686869782
RPM-2010-12-16,2010-12-16,2010,72.0,6.0,1.0,65.0,0.08333333333333333,0.013888888888888888,0.9027777777777778,0.06944444444444445,0.7142857142857143,0.09722222222222222,0.05210520675929701
RPM-2011-01-13,2011-01-13,2011,89.0,9.0,0.0,80.0,0.10112359550561797,0.0,0.898876404494382,0.10112359550561797,1.0,0.10112359550561797,0.06106368309573563
RPM-2011-02-17,2011-02-17,2011,111.0,8.0,1.0,102.0,0.07207207207207207,0.009009009009009009,0.918918918918919,0.06306306306306306,0.7777777777777778,0.08108108108108109,0.05013669495100453
RPM-2011-03-17,2011-03-17,2011,95.0,10.0,0.0,85.0,0.10526315789473684,0.0,0.8947368421052632,0.10526315789473684,1.0,0.10526315789473684,0.05044208792825863
RPM-2011-04-12,2011-04-12,2011,83.0,7.0,0.0,76.0,0.08433734939759036,0.0,0.9156626506024096,0.08433734939759036,1.0,0.08433734939759036,0.0616216696968244
RPM-2011-05-12,2011-05-12,2011,102.0,11.0,0.0,91.0,0.10784313725490197,0.0,0.8921568627450981,0.10784313725490197,1.0,0.10784313725490197,0.06903460456663661
RPM-2011-06-14,2011-06-14,2011,80.0,8.0,0.0,72.0,0.1,0.0,0.9,0.1,1.0,0.1,0.061229063237444925
RPM-2011-07-14,2011-07-14,2011,103.0,5.0,1.0,97.0,0.04854368932038835,0.009708737864077669,0.941747572815534,0.038834951456310676,0.6666666666666666,0.05825242718446602,0.02393405996224475
RPM-2011-08-18,2011-08-18,2011,84.0,1.0,2.0,81.0,0.011904761904761904,0.023809523809523808,0.9642857142857143,-0.011904761904761904,-0.3333333333333333,0.03571428571428571,-0.010447969161848557
RPM-2011-09-15,2011-09-15,2011,69.0,0.0,0.0,69.0,0.0,0.0,1.0,0.0,,0.0,-0.007425573846032363
RPM-2011-10-13,2011-10-13,2011,86.0,0.0,1.0,85.0,0.0,0.011627906976744186,0.9883720930232558,-0.011627906976744186,-1.0,0.011627906976744186,-0.02200312966507249
RPM-2011-11-15,2011-11-15,2011,89.0,0.0,5.0,84.0,0.0,0.056179775280898875,0.9438202247191011,-0.056179775280898875,-1.0,0.056179775280898875,-0.02363675909883549
RPM-2011-12-13,2011-12-13,2011,71.0,0.0,5.0,66.0,0.0,0.07042253521126761,0.9295774647887324,-0.07042253521126761,-1.0,0.07042253521126761,-0.04263679219147506
RPM-2012-01-12,2012-01-12,2012,70.0,0.0,6.0,64.0,0.0,0.08571428571428572,0.9142857142857143,-0.08571428571428572,-1.0,0.08571428571428572,-0.06393554031834497
RPM-2012-02-14,2012-02-14,2012,90.0,0.0,1.0,89.0,0.0,0.011111111111111112,0.9888888888888889,-0.011111111111111112,-1.0,0.011111111111111112,-0.023663655894461903
RPM-2012-03-15,2012-03-15,2012,98.0,0.0,1.0,97.0,0.0,0.01020408163265306,0.9897959183673469,-0.01020408163265306,-1.0,0.01020408163265306,-0.014052308881336682
RPM-2012-04-17,2012-04-17,2012,81.0,0.0,0.0,81.0,0.0,0.0,1.0,0.0,,0.0,-0.016828603821662822
RPM-2012-05-17,2012-05-17,2012,71.0,0.0,1.0,70.0,0.0,0.014084507042253521,0.9859154929577465,-0.014084507042253521,-1.0,0.014084507042253521,-0.018864290801226185
RPM-2012-06-14,2012-06-14,2012,57.0,0.0,0.0,57.0,0.0,0.0,1.0,0.0,,0.0,-0.02456160186524941
RPM-2012-07-12,2012-07-12,2012,89.0,0.0,1.0,88.0,0.0,0.011235955056179775,0.9887640449438202,-0.011235955056179775,-1.0,0.011235955056179775,-0.02480900219136818
RPM-2012-08-16,2012-08-16,2012,73.0,0.0,1.0,72.0,0.0,0.0136986301369863,0.9863013698630136,-0.0136986301369863,-1.0,0.0136986301369863,-0.035908183846260606
RPM-2012-09-13,2012-09-13,2012,65.0,0.0,2.0,63.0,0.0,0.03076923076923077,0.9692307692307692,-0.03076923076923077,-1.0,0.03076923076923077,-0.04530024535232346
RPM-2012-10-18,2012-10-18,2012,82.0,0.0,1.0,81.0,0.0,0.012195121951219513,0.9878048780487805,-0.012195121951219513,-1.0,0.012195121951219513,-0.028039325038124348
